icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,timestamp_ingest
e48be3,TAM3247,Brazil,1750873268,1750873268,-46.8229,-22.6655,8199.12,false,196.26,295.96,2025-06-25T17:41:25.073919+00:00Z
e0b20f,FBZ5151,Argentina,1750873088,1750873088,-58.3935,-34.5717,99.06,false,72.77,303.47,2025-06-25T17:41:25.074018+00:00Z
e49ec9,AZU6035,Brazil,1750873268,1750873268,-50.2508,-29.1583,9509.76,false,234.07,36.87,2025-06-25T17:41:25.074094+00:00Z
e49eeb,GLO1588,Brazil,1750873214,1750873215,-46.2524,-23.2738,3124.2,false,153.53,33.1,2025-06-25T17:41:25.074168+00:00Z
e0b285,FBZ5100,Argentina,1750873269,1750873269,-58.2456,-34.6677,998.22,false,100.56,7.05,2025-06-25T17:41:25.074241+00:00Z
e49f43,AZU2623,Brazil,1750872692,1750873184,-49.4597,-26.4363,11277.6,false,249.42,30.9,2025-06-25T17:41:25.074416+00:00Z
e073cf,ARG1753,Argentina,1750873268,1750873268,-58.6198,-33.0558,7993.38,false,218.63,185.54,2025-06-25T17:41:25.074491+00:00Z
e49f13,PSRCL,Brazil,1750872829,1750873268,-48.9159,-25.2045,8534.4,false,141.48,201.99,2025-06-25T17:41:25.074632+00:00Z
e49f18,PPBBT,Brazil,1750873266,1750873268,-47.1409,-24.3834,8534.4,false,131.83,206.17,2025-06-25T17:41:25.074717+00:00Z
e49f5a,AZU5031,Brazil,1750872996,1750873049,-45.978,-22.8873,7040.88,false,194.65,13.45,2025-06-25T17:41:25.074860+00:00Z
e48ad4,TAM3630,Brazil,1750873268,1750873268,-47.4553,-24.8484,10965.18,false,188.08,217.0,2025-06-25T17:41:25.075226+00:00Z
e48afd,GLO1466,Brazil,1750873268,1750873268,-46.641,-23.6491,1112.52,false,90.06,144.77,2025-06-25T17:41:25.075306+00:00Z
e0b112,FBZ5242,Argentina,1750873268,1750873268,-59.2801,-35.2452,8785.86,false,225.87,228.14,2025-06-25T17:41:25.075379+00:00Z
e0b110,JES3736,Argentina,1750873268,1750873268,-59.9835,-34.4592,10972.8,false,181.92,276.98,2025-06-25T17:41:25.075448+00:00Z
e0b148,FBZ5902,Argentina,1750873268,1750873268,-58.4393,-34.5443,381.0,false,78.28,317.4,2025-06-25T17:41:25.075608+00:00Z
e48b65,TAM3822,Brazil,1750873259,1750873268,-49.1075,-25.418,1569.72,false,187.76,244.35,2025-06-25T17:41:25.075949+00:00Z
e072d3,ARG1673,Argentina,1750873267,1750873267,-59.2769,-34.9688,3840.48,false,222.03,73.58,2025-06-25T17:41:25.076183+00:00Z
e49e35,PSAVC,Brazil,1750873267,1750873267,-48.9408,-23.1035,2743.2,false,63.41,356.28,2025-06-25T17:41:25.076411+00:00Z
e49c42,PSBLM,Brazil,1750873250,1750873250,-47.2136,-23.2864,1676.4,false,94.21,284.87,2025-06-25T17:41:25.077130+00:00Z
e49c98,PSMEM,Brazil,1750873268,1750873268,-46.5513,-23.5355,975.36,false,54.26,264.56,2025-06-25T17:41:25.077203+00:00Z
e48ffa,TAM4536,Brazil,1750873245,1750873245,-45.9352,-22.8305,5433.06,false,201.66,35.03,2025-06-25T17:41:25.077288+00:00Z
e8061b,JES3077,Chile,1750873268,1750873268,-58.489,-34.9373,685.8,false,92.64,343.88,2025-06-25T17:41:25.077437+00:00Z
e48fea,N,Brazil,1750873263,1750873264,-48.2896,-22.9113,2895.6,false,98.7,116.3,2025-06-25T17:41:25.077505+00:00Z
e80600,JES3031,Chile,1750873162,1750873165,-59.5114,-36.5474,10957.56,false,211.16,209.0,2025-06-25T17:41:25.077573+00:00Z
e48fb6,GOL1029,Brazil,1750873152,1750873228,-43.5788,-23.2253,6477.0,false,189.4,250.48,2025-06-25T17:41:25.077710+00:00Z
e48ef4,PRBJA,Brazil,1750873268,1750873268,-50.6982,-29.1179,10363.2,false,194.51,231.77,2025-06-25T17:41:25.077846+00:00Z
e48f72,PRNGM,Brazil,1750873268,1750873268,-47.6637,-22.6202,7901.94,false,212.33,124.54,2025-06-25T17:41:25.078187+00:00Z
e80454,null,Chile,1750873259,1750873259,-46.2959,-23.4166,2019.3,false,137.27,130.14,2025-06-25T17:41:25.078321+00:00Z
e80411,LAN406,Chile,1750873268,1750873268,-48.331,-24.6338,10066.02,false,271.68,28.75,2025-06-25T17:41:25.078595+00:00Z
e48e0a,GLO1204,Brazil,1750873018,1750873023,-48.3266,-27.6983,1348.74,false,117.79,211.61,2025-06-25T17:41:25.085386+00:00Z
e0b2d8,LQKKX,Argentina,1750873268,1750873268,-59.8434,-32.796,7315.2,false,116.37,322.72,2025-06-25T17:41:25.085494+00:00Z
e48e78,GLO1226,Brazil,1750873263,1750873267,-47.3243,-25.0511,7924.8,false,193.06,212.93,2025-06-25T17:41:25.085656+00:00Z
e48e05,AZU6019,Brazil,1750873268,1750873268,-47.3088,-25.204,8839.2,false,225.09,78.66,2025-06-25T17:41:25.085811+00:00Z
e48e09,GLO1026,Brazil,1750873253,1750873253,-43.2787,-22.8583,685.8,false,87.21,70.71,2025-06-25T17:41:25.085887+00:00Z
e49fb6,AZU2753,Brazil,1750873268,1750873268,-47.5953,-23.4069,4450.08,false,159.08,53.95,2025-06-25T17:41:25.086048+00:00Z
e49fb3,AZU2718,Brazil,1750873260,1750873268,-49.6802,-27.0033,11887.2,false,249.33,21.8,2025-06-25T17:41:25.086134+00:00Z
e49fb2,AZU6004,Brazil,1750873268,1750873268,-47.0781,-23.5381,7498.08,false,182.09,331.48,2025-06-25T17:41:25.086204+00:00Z
e49fb5,AZU4957,Brazil,1750873268,1750873268,-46.1038,-22.6044,7886.7,false,208.82,38.2,2025-06-25T17:41:25.086305+00:00Z
e48ced,PPCFJ,Brazil,1750873267,1750873268,-50.2332,-27.7074,11277.6,false,279.32,27.18,2025-06-25T17:41:25.086657+00:00Z
c010a8,ACA90,Canada,1750873268,1750873268,-58.6285,-32.8399,8976.36,false,256.86,175.87,2025-06-25T17:41:25.086730+00:00Z
e48950,TAM3633,Brazil,1750873268,1750873268,-46.717,-23.5378,1303.02,false,106.4,148.85,2025-06-25T17:41:25.086999+00:00Z
e48985,GLO1259,Brazil,1750873266,1750873268,-48.3977,-26.9302,11887.2,false,267.14,35.83,2025-06-25T17:41:25.087075+00:00Z
e48986,GLO1567,Brazil,1750873095,1750873106,-46.6623,-23.6182,754.38,false,74.93,147.62,2025-06-25T17:41:25.087149+00:00Z
405bfe,BAW248,United Kingdom,1750873269,1750873269,-43.4712,-22.7392,1303.02,false,107.76,67.84,2025-06-25T17:41:25.087521+00:00Z
e4875e,PRJDJ,Brazil,1750873256,1750873256,-47.724,-24.7538,11582.4,false,189.13,240.51,2025-06-25T17:41:25.087665+00:00Z
e485af,TAM3286,Brazil,1750873267,1750873267,-47.5484,-24.3153,7917.18,false,202.63,224.28,2025-06-25T17:41:25.087893+00:00Z
e49c11,null,Brazil,1750873261,1750873265,-46.6932,-24.1568,1051.56,false,35.66,63.43,2025-06-25T17:41:25.088814+00:00Z
e49aab,TAM3916,Brazil,1750873269,1750873269,-46.1941,-23.5508,5532.12,false,191.73,35.61,2025-06-25T17:41:25.088960+00:00Z
e49aa8,TAM8142,Brazil,1750873268,1750873268,-58.3482,-34.5967,365.76,false,63.35,304.08,2025-06-25T17:41:25.089130+00:00Z
e49b70,PSPES,Brazil,1750873267,1750873268,-47.3942,-23.2453,4152.9,false,103.33,285.0,2025-06-25T17:41:25.089292+00:00Z
e49b53,GLO7631,Brazil,1750872880,1750873268,-49.6657,-26.6205,8839.2,false,237.32,13.8,2025-06-25T17:41:25.089365+00:00Z
e095cc,LVIWL,Argentina,1750873219,1750873219,-59.2225,-34.6523,899.16,false,65.92,267.32,2025-06-25T17:41:25.089512+00:00Z
e49a96,AZU4849,Brazil,1750873235,1750873237,-48.3278,-27.6998,1051.56,false,124.23,211.45,2025-06-25T17:41:25.089732+00:00Z
e49a8b,AZU2762,Brazil,1750873268,1750873268,-47.8606,-25.2847,11582.4,false,193.22,212.72,2025-06-25T17:41:25.089806+00:00Z
e49a48,GLO7629,Brazil,1750873265,1750873267,-57.7651,-33.7812,7772.4,false,211.86,42.84,2025-06-25T17:41:25.089965+00:00Z
e49a2e,AZU4010,Brazil,1750873268,1750873268,-46.9767,-22.9685,2362.2,false,145.26,61.44,2025-06-25T17:41:25.090037+00:00Z
e4a274,null,Brazil,1750873182,1750873184,-47.0886,-22.8622,960.12,false,42.22,136.97,2025-06-25T17:41:25.090119+00:00Z
e4a236,PSAVB,Brazil,1750872958,1750872981,-46.6543,-23.5063,769.62,false,32.99,100.78,2025-06-25T17:41:25.090185+00:00Z
e4a0dc,null,Brazil,1750873239,1750873240,-46.271,-23.5594,990.6,false,65.55,278.58,2025-06-25T17:41:25.090351+00:00Z
e0814b,JES3062,Argentina,1750873268,1750873268,-58.4351,-34.203,4739.64,false,148.93,352.46,2025-06-25T17:41:25.090649+00:00Z
0ac9ef,AVA185,Colombia,1750873268,1750873269,-46.6097,-23.2921,2232.66,false,123.58,212.76,2025-06-25T17:41:25.090722+00:00Z
e49405,GLO1247,Brazil,1750873268,1750873268,-46.9402,-22.9521,4907.28,false,172.93,47.29,2025-06-25T17:41:25.090794+00:00Z
e492b0,AZU2838,Brazil,1750873267,1750873268,-50.639,-28.3507,10751.82,false,253.45,29.69,2025-06-25T17:41:25.091094+00:00Z
e48008,GLO9616,Brazil,1750873260,1750873262,-46.5695,-23.461,1143.0,false,76.33,73.15,2025-06-25T17:41:25.091952+00:00Z
e49306,PRCBJ,Brazil,1750873153,1750873169,-46.6543,-23.5063,739.14,false,49.65,100.15,2025-06-25T17:41:25.092029+00:00Z
e49314,TAM4609,Brazil,1750873268,1750873268,-47.421,-23.3584,6659.88,false,199.54,47.51,2025-06-25T17:41:25.092165+00:00Z
e491c3,GLO1624,Brazil,1750873268,1750873268,-46.4172,-23.7102,3360.42,false,179.06,81.24,2025-06-25T17:41:25.092235+00:00Z
e49220,TAM3043,Brazil,1750873268,1750873268,-46.8389,-23.4622,1615.44,false,152.8,135.82,2025-06-25T17:41:25.092577+00:00Z
e4919e,GLO1274,Brazil,1750873204,1750873251,-46.9601,-24.4373,7924.8,false,191.41,194.63,2025-06-25T17:41:25.092889+00:00Z
e4919f,GLO1028,Brazil,1750873268,1750873268,-46.5838,-23.6764,1531.62,false,138.08,118.0,2025-06-25T17:41:25.092962+00:00Z
e4917f,TAM3273,Brazil,1750873268,1750873268,-47.0141,-25.1874,10058.4,false,254.22,35.36,2025-06-25T17:41:25.093081+00:00Z
485789,KLM702,Kingdom of the Netherlands,1750873268,1750873268,-58.689,-34.8873,3268.98,false,189.36,112.52,2025-06-25T17:41:25.093168+00:00Z
e4854d,PRBAT,Brazil,1750873257,1750873258,-46.7851,-22.9404,1706.88,false,69.85,224.4,2025-06-25T17:41:25.093320+00:00Z
e4851a,TAM4553,Brazil,1750873268,1750873268,-46.2557,-23.9813,4610.1,false,168.71,265.63,2025-06-25T17:41:25.093630+00:00Z
e4851b,TAM3929,Brazil,1750873066,1750873066,-46.6554,-23.6298,null,true,6.94,329.06,2025-06-25T17:41:25.093699+00:00Z
e495ce,PRHVD,Brazil,1750873268,1750873268,-47.1033,-23.0901,5836.92,false,179.91,47.78,2025-06-25T17:41:25.093989+00:00Z
e495db,TAM3065,Brazil,1750873268,1750873268,-46.5148,-23.9027,2743.2,false,128.24,294.41,2025-06-25T17:41:25.094337+00:00Z
e49631,PSZEN,Brazil,1750873217,1750873217,-47.0732,-22.6653,1013.46,false,67.42,115.78,2025-06-25T17:41:25.094646+00:00Z
e49697,TAM8034,Brazil,1750873098,1750873105,-48.412,-25.4851,9144.0,false,211.78,221.36,2025-06-25T17:41:25.094729+00:00Z
e48274,TAM4673,Brazil,1750873100,1750873141,-46.5469,-23.4549,922.02,false,73.28,74.11,2025-06-25T17:41:25.095129+00:00Z
e4953d,TAM3366,Brazil,1750873000,1750873002,-43.2863,-22.7975,99.06,false,73.5,125.02,2025-06-25T17:41:25.095506+00:00Z
add122,PTSIN,United States,1750872990,1750872992,-43.3714,-22.9746,-7.62,false,51.49,182.29,2025-06-25T17:41:25.095785+00:00Z
e4819c,TAM3531,Brazil,1750873268,1750873268,-46.7825,-23.3381,1943.1,false,123.6,138.88,2025-06-25T17:41:25.096029+00:00Z
e03086,ARG1228,Argentina,1750873268,1750873268,-57.5904,-34.4856,7482.84,false,213.7,53.52,2025-06-25T17:41:25.096291+00:00Z
e47fa8,null,Brazil,1750872967,1750872967,-55.8432,-33.3853,11277.6,false,252.09,52.55,2025-06-25T17:41:25.096364+00:00Z
4cadc6,ITY675,Ireland,1750873267,1750873267,-45.8233,-23.4166,4130.04,false,168.47,84.57,2025-06-25T17:41:25.096526+00:00Z
